"incident_id","ward_name","x","y","date","description"
"INC_0020","Riverstead",455245.785440518,343526.886200163,"2025-07-13","Graffiti and minor vandalism observed on public-facing property."
"INC_0021","Riverstead",454892.453512638,342345.982033601,"2025-07-26","Graffiti and minor vandalism observed on public-facing property. Possible overnight timing."
"INC_0022","Riverstead",454635.466135995,343760.924597685,"2025-07-11","Caller described a confrontation with risk of personal harm."
"INC_0023","Riverstead",455657.877710026,343813.537372572,"2025-09-15","Concern raised about loitering and unclear activity after dark."
"INC_0024","Riverstead",454715.764316793,343994.81230175,"2025-08-07","Safety report logged following aggressive behaviour in public space. Follow-up details were partial."
"INC_0025","Riverstead",454190.497597829,343804.405339557,"2025-07-08","Safety report logged following aggressive behaviour in public space."
"INC_0026","Riverstead",455235.046829496,343958.917249442,"2025-02-24","Street-safety report logged after repeated uneasy encounters. Pattern may be intermittent."
"INC_0027","Riverstead",455593.579336109,343633.114980951,"2025-07-17","Report noted repeated damage to bins and surrounding fixtures."
"INC_0028","Riverstead",454777.010108129,343328.973966704,"2025-09-08","Street-safety report logged after repeated uneasy encounters. Pattern may be intermittent."
"INC_0029","Riverstead",454813.775911365,343360.873571592,"2025-11-23","Street-safety report logged after repeated uneasy encounters. Pattern may be intermittent."
"INC_0030","Riverstead",454426.694835507,343241.212656687,"2025-03-05","Resident described suspicious movement near pedestrian access points. Caller uncertain about intent."
"INC_0031","Riverstead",454223.146278313,343009.061553251,"2025-08-31","Complaint logged about loud music and anti-social noise."
"INC_0032","Riverstead",455246.398796266,344390.097249858,"2025-04-04","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0033","Moor Park",456615.409718338,341785.355145792,"2025-11-01","Residents described persistent disturbance from street gatherings."
"INC_0034","Moor Park",455667.656786271,343185.06654587,"2025-06-29","Resident described suspicious movement near pedestrian access points."
"INC_0035","Moor Park",455667.678758588,343185.047409035,"2025-11-03","Caller reported suspicious behaviour near a poorly lit route."
"INC_0036","Moor Park",455667.65305544,343185.039058591,"2025-04-12","Witness noted a threatening exchange requiring follow-up attention. Incident escalated quickly."
"INC_0037","Lantern Hill",456275.804612823,346099.669470961,"2025-02-22","Broken glass and signs of overnight damage were recorded. Public area involvement noted."
"INC_0038","Lantern Hill",455825.535474652,344779.793073519,"2025-04-16","Broken glass and signs of overnight damage were recorded. Issue appears recurring."
"INC_0039","Lantern Hill",456126.855312685,345023.184044976,"2025-06-03","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0040","Lantern Hill",456408.120650888,344793.955919542,"2025-02-13","Broken glass and signs of overnight damage were recorded. Possible overnight timing."
"INC_0041","Lantern Hill",456173.421870587,344001.756045685,"2025-08-03","Caller described a confrontation with risk of personal harm. Follow-up details were partial."
"INC_0042","Lantern Hill",456232.543155355,344310.643147453,"2025-02-11","Crowd noise and shouting noted outside licensed premises. Short repeat description."
"INC_0043","Westbrook",451516.412483639,342159.736104687,"2025-12-02","Caller reported suspicious behaviour near a poorly lit route."
"INC_0044","Westbrook",452103.312919518,340647.020802146,"2025-01-27","Resident described suspicious movement near pedestrian access points."
"INC_0045","Market End",453045.367048919,344600.103871519,"2025-12-08","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0046","Market End",454423.082472155,346594.924353244,"2025-03-03","Graffiti and minor vandalism observed on public-facing property. Possible overnight timing."
"INC_0047","Market End",453450.965088751,345828.516026238,"2025-06-23","Concern raised about loitering and unclear activity after dark. Caller uncertain about intent."
"INC_0048","Market End",454133.081909799,345614.848543169,"2025-01-20","Report noted repeated damage to bins and surrounding fixtures."
"INC_0049","Market End",452620.984400616,345622.943251291,"2025-05-04","Graffiti and minor vandalism observed on public-facing property."
"INC_0050","Market End",454222.361956203,344204.248046366,"2025-12-25","Broken glass and signs of overnight damage were recorded."
"INC_0051","Market End",452873.660029342,344142.98458832,"2025-06-24","Report noted repeated damage to bins and surrounding fixtures. Nearby property affected."
"INC_0052","Market End",453982.016378296,346150.581001202,"2025-10-18","Report noted repeated damage to bins and surrounding fixtures. Public area involvement noted."
"INC_0053","Market End",453360.582187069,345850.975296637,"2025-01-21","Caller reported suspicious behaviour near a poorly lit route. Pattern may be intermittent."
"INC_0054","Market End",453764.722131726,346564.188683177,"2025-04-08","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0055","Market End",453445.056555572,346165.559831675,"2025-04-18","Caller reported suspicious behaviour near a poorly lit route. Caller uncertain about intent."
"INC_0056","Market End",452877.554620593,344638.645926957,"2025-06-10","Caller described a confrontation with risk of personal harm. Further context remained limited."
"INC_0057","Market End",453534.296282217,345216.878608324,"2025-04-13","Street-safety report logged after repeated uneasy encounters. Caller uncertain about intent."
"INC_0058","Market End",453087.72365025,345186.549100565,"2025-06-01","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0059","Market End",454620.145698739,346899.597138421,"2025-09-17","Concern raised about loitering and unclear activity after dark. Pedestrian route referenced."
"INC_0060","Market End",453185.002924565,345131.632988823,"2025-03-24","Concern raised about loitering and unclear activity after dark. Pattern may be intermittent."
"INC_0061","Market End",452575.667198722,345682.62748512,"2025-09-11","Damage reported to fencing and nearby street furniture."
"INC_0062","Market End",453719.828072466,346290.666958932,"2025-05-06","Report noted repeated damage to bins and surrounding fixtures."
"INC_0063","Market End",453875.048706491,346256.603142306,"2025-02-18","Graffiti and minor vandalism observed on public-facing property. Public area involvement noted."
"INC_0064","Market End",452908.798380196,345471.079713766,"2025-04-05","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0065","Market End",452212.537152868,345950.393183735,"2025-06-19","Safety report logged following aggressive behaviour in public space. Follow-up details were partial."
"INC_0066","Market End",453463.65840877,346235.267928431,"2025-03-05","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0067","Market End",452462.411488,345330.951371959,"2025-07-03","Street-safety report logged after repeated uneasy encounters."
"INC_0068","Market End",454695.540117646,346668.733166277,"2025-07-15","Resident described suspicious movement near pedestrian access points. Caller uncertain about intent."
"INC_0069","Market End",452998.79457866,346290.454982474,"2025-08-22","Street-safety report logged after repeated uneasy encounters."
"INC_0070","Market End",454498.810414946,346267.671165332,"2025-10-26","Street-safety report logged after repeated uneasy encounters. Pattern may be intermittent."
"INC_0071","Market End",452611.754791433,345971.643049467,"2025-04-17","Broken glass and signs of overnight damage were recorded. Possible overnight timing."
"INC_0072","Market End",453205.425677076,346219.287212186,"2025-10-23","Caller reported suspicious behaviour near a poorly lit route. Caller uncertain about intent."
"INC_0073","Market End",452855.576153466,345265.477877673,"2025-06-02","Resident described suspicious movement near pedestrian access points."
"INC_0074","Market End",453092.743113983,345332.933341835,"2025-04-10","Resident described suspicious movement near pedestrian access points. Caller uncertain about intent."
"INC_0075","Market End",454586.448455019,346272.582024856,"2025-12-10","Report noted repeated damage to bins and surrounding fixtures."
"INC_0076","Market End",453629.349185955,344699.49042528,"2025-06-24","Safety report logged following aggressive behaviour in public space. Further context remained limited."
"INC_0077","Market End",454102.692506542,345106.729706702,"2025-02-22","Resident described suspicious movement near pedestrian access points."
"INC_0078","Market End",454550.752666396,346741.924297164,"2025-10-02","Graffiti and minor vandalism observed on public-facing property. Possible overnight timing."
"INC_0079","Market End",453177.599215477,344655.779967051,"2025-12-25","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0080","Market End",454616.888442277,346504.320842695,"2025-02-21","Concern raised about loitering and unclear activity after dark. Pedestrian route referenced."
"INC_0081","Market End",453785.21523509,345022.539314359,"2025-02-27","Caller reported suspicious behaviour near a poorly lit route. Pedestrian route referenced."
"INC_0082","Market End",453079.572030799,344981.271096345,"2025-08-12","Caller reported suspicious behaviour near a poorly lit route."
"INC_0083","Market End",453259.666329644,344327.17579992,"2025-09-05","Caller reported suspicious behaviour near a poorly lit route."
"INC_0084","Market End",454093.195084563,345098.991289822,"2025-06-14","Report noted repeated damage to bins and surrounding fixtures. Possible overnight timing."
"INC_0085","Market End",452425.698563594,346068.316311288,"2025-11-11","Incident report referenced an altercation and threat concerns. Incident escalated quickly."
"INC_0086","Market End",454564.369336665,346357.592600508,"2025-08-19","Caller reported suspicious behaviour near a poorly lit route. Pedestrian route referenced."
"INC_0087","Market End",453355.43695095,344879.452588367,"2025-05-10","Graffiti and minor vandalism observed on public-facing property. Possible overnight timing."
"INC_0088","Market End",453199.101535107,343991.452169383,"2025-12-08","Caller described a confrontation with risk of personal harm. Incident escalated quickly."
"INC_0089","Market End",454154.315206203,345372.693527711,"2025-01-19","Concern raised about loitering and unclear activity after dark."
"INC_0090","Market End",454086.367055811,345053.237854687,"2025-02-07","Concern raised about loitering and unclear activity after dark. Pedestrian route referenced."
"INC_0091","Market End",453690.911271307,343962.155318069,"2025-01-27","Concern raised about loitering and unclear activity after dark."
"INC_0092","Market End",452895.874606402,345885.471699026,"2025-12-06","Concern raised about loitering and unclear activity after dark. Lighting conditions mentioned."
"INC_0093","Market End",453312.730873654,345955.264435761,"2025-07-22","Broken glass and signs of overnight damage were recorded."
"INC_0094","Market End",453620.05301561,343866.654348632,"2025-07-16","Witness noted a threatening exchange requiring follow-up attention. Incident escalated quickly."
"INC_0095","Market End",453135.549117831,346559.311384523,"2025-07-09","Broken glass and signs of overnight damage were recorded. Possible overnight timing."
"INC_0096","Market End",454368.995482937,346187.406025695,"2025-04-25","Caller reported suspicious behaviour near a poorly lit route."
"INC_0097","Market End",453864.347516222,345912.121817452,"2025-04-19","Caller described a confrontation with risk of personal harm. Incident escalated quickly."
"INC_0098","Market End",452700.219662757,345156.449351063,"2025-07-26","Damage reported to fencing and nearby street furniture."
"INC_0099","Market End",452532.492186356,345586.537715241,"2025-05-17","Resident described suspicious movement near pedestrian access points."
"INC_0100","Market End",453621.094718153,344549.481584436,"2025-03-09","Street-safety report logged after repeated uneasy encounters. Pattern may be intermittent."
"INC_0101","Market End",453970.873869789,346498.577758676,"2025-09-16","Broken glass and signs of overnight damage were recorded. Nearby property affected."
"INC_0102","Market End",454721.820453697,346530.293073047,"2025-01-25","Incident report referenced an altercation and threat concerns. Follow-up details were partial."
"INC_0103","Market End",453628.975112872,344801.614261952,"2025-03-19","Graffiti and minor vandalism observed on public-facing property."
"INC_0104","Market End",453935.543080875,345690.782512926,"2025-03-12","Graffiti and minor vandalism observed on public-facing property."
"INC_0105","Market End",453677.656081652,343922.749656231,"2025-08-04","Street-safety report logged after repeated uneasy encounters. Lighting conditions mentioned."
"INC_0106","Market End",452954.371134157,344181.417901381,"2025-06-02","Report noted repeated damage to bins and surrounding fixtures. Public area involvement noted."
"INC_0107","Market End",453592.467442968,345608.122850009,"2025-07-10","Safety report logged following aggressive behaviour in public space. Further context remained limited."
"INC_0108","Market End",452686.46914087,345197.943747262,"2025-04-11","Damage reported to fencing and nearby street furniture. Nearby property affected."
"INC_0109","Market End",452433.581465631,345402.04809116,"2025-09-28","Broken glass and signs of overnight damage were recorded. Issue appears recurring."
"INC_0110","Market End",454601.247394239,346841.667244708,"2025-12-06","Report noted repeated damage to bins and surrounding fixtures. Nearby property affected."
"INC_0111","Market End",452746.19834932,344905.591246795,"2025-10-31","Report noted repeated damage to bins and surrounding fixtures. Nearby property affected."
"INC_0112","Market End",452988.719585104,345901.225150008,"2025-12-21","Safety report logged following aggressive behaviour in public space."
"INC_0113","Market End",453383.353175177,345591.737753881,"2025-01-28","Caller described a confrontation with risk of personal harm. Follow-up details were partial."
"INC_0114","Market End",452871.22178979,344364.946763652,"2025-09-30","Broken glass and signs of overnight damage were recorded. Issue appears recurring."
"INC_0115","Market End",453620.029680824,345648.277645673,"2025-02-03","Damage reported to fencing and nearby street furniture. Public area involvement noted."
"INC_0116","Market End",454597.221247492,347033.815735816,"2025-06-25","Damage reported to fencing and nearby street furniture. Issue appears recurring."
"INC_0117","Market End",452820.952951856,344895.436669191,"2025-10-23","Street-safety report logged after repeated uneasy encounters."
"INC_0118","Market End",453613.981142233,345143.081976668,"2025-04-03","Broken glass and signs of overnight damage were recorded. Possible overnight timing."
"INC_0119","Market End",453309.955403686,346528.623795085,"2025-04-05","Report noted repeated damage to bins and surrounding fixtures. Possible overnight timing."
"INC_0120","Market End",454177.507043889,346045.140105459,"2025-07-12","Street-safety report logged after repeated uneasy encounters. Pedestrian route referenced."
"INC_0121","Market End",454293.590420289,346552.854737483,"2025-02-17","Broken glass and signs of overnight damage were recorded. Possible overnight timing."
"INC_0122","Market End",453751.473057586,344200.812558536,"2025-11-16","Street-safety report logged after repeated uneasy encounters. Pattern may be intermittent."
"INC_0123","Market End",452546.697249482,345949.28779792,"2025-07-09","Street-safety report logged after repeated uneasy encounters."
"INC_0124","Market End",453063.085884166,346901.178864443,"2025-04-12","Concern raised about loitering and unclear activity after dark. Lighting conditions mentioned."
"INC_0125","Market End",452656.344505851,345712.143920846,"2025-07-22","Concern raised about loitering and unclear activity after dark. Caller uncertain about intent."
"INC_0126","Market End",453166.603565771,343821.599597883,"2025-11-22","Resident described suspicious movement near pedestrian access points. Lighting conditions mentioned."
"INC_0127","Market End",453631.451403541,343914.610444347,"2025-02-23","Caller reported suspicious behaviour near a poorly lit route."
"INC_0128","Market End",452705.281335154,344415.298204565,"2025-09-16","Concern raised about loitering and unclear activity after dark."
"INC_0129","Market End",454156.382517311,345277.13406748,"2025-02-25","Broken glass and signs of overnight damage were recorded."
"INC_0130","Market End",454521.439805501,346333.599418456,"2025-04-11","Report noted repeated damage to bins and surrounding fixtures."
"INC_0131","Market End",454047.280521801,344090.322539118,"2025-05-25","Damage reported to fencing and nearby street furniture."
"INC_0132","Market End",453845.798931225,345199.429148605,"2025-12-10","Report noted repeated damage to bins and surrounding fixtures."
"INC_0133","Market End",453087.260824094,344023.234627925,"2025-05-27","Graffiti and minor vandalism observed on public-facing property. Public area involvement noted."
"INC_0134","Market End",454073.953735091,344553.933360838,"2025-07-26","Concern raised about loitering and unclear activity after dark."
"INC_0135","Market End",453661.228177603,344235.462306901,"2025-12-24","Safety report logged following aggressive behaviour in public space. Incident escalated quickly."
"INC_0136","Market End",453348.498542999,346028.451080544,"2025-11-09","Complaint logged about loud music and anti-social noise."
"INC_0137","Market End",452915.352151606,345580.94388793,"2025-02-06","Repeated late-night noise reported near flats. Linked to visitor activity."
"INC_0138","Cedar Rise",455131.929103757,345321.255279136,"2025-12-18","Concern raised about loitering and unclear activity after dark."
"INC_0139","Cedar Rise",454415.855860299,345259.936982255,"2025-02-06","Caller reported suspicious behaviour near a poorly lit route. Caller uncertain about intent."
"INC_0140","Cedar Rise",454660.338080805,344337.034572086,"2025-10-27","Caller reported suspicious behaviour near a poorly lit route. Lighting conditions mentioned."
"INC_0141","Cedar Rise",455157.602144482,346646.098542469,"2025-05-01","Concern raised about loitering and unclear activity after dark."
"INC_0142","Cedar Rise",454325.361189805,345491.451306894,"2025-06-24","Repeated late-night noise reported near flats."
"INC_0143","Cedar Rise",454785.616912542,346190.235515533,"2025-01-27","Broken glass and signs of overnight damage were recorded. Possible overnight timing."
"INC_0144","Cedar Rise",454446.667202927,344826.859653777,"2025-07-26","Resident described suspicious movement near pedestrian access points. Pattern may be intermittent."
"INC_0145","Cedar Rise",454803.839639597,346414.610842433,"2025-03-23","Broken glass and signs of overnight damage were recorded. Public area involvement noted."
"INC_0146","Cedar Rise",454507.118166411,345925.259889289,"2025-04-24","Damage reported to fencing and nearby street furniture."
"INC_0147","Cedar Rise",454666.816130888,344673.348094491,"2025-04-14","Report noted repeated damage to bins and surrounding fixtures. Public area involvement noted."
"INC_0148","Cedar Rise",454752.479807771,345428.217667068,"2025-08-04","Concern raised about loitering and unclear activity after dark. Lighting conditions mentioned."
"INC_0149","Kingsmead",461443.908097603,340854.755865895,"2025-10-18","Complaint logged about loud music and anti-social noise. Weekend evening pattern."
"INC_0150","Kingsmead",461076.012373754,341379.11735999,"2025-06-28","Safety report logged following aggressive behaviour in public space. Further context remained limited."
"INC_0151","Kingsmead",461778.498398418,341289.657473667,"2025-11-26","Complaint logged about loud music and anti-social noise."
"INC_0152","Kingsmead",461480.621327329,341338.989666484,"2025-04-12","Incident report referenced an altercation and threat concerns."
"INC_0153","East Hollow",461480.635204371,341338.993454389,"2025-08-05","Safety report logged following aggressive behaviour in public space."
"INC_0154","Kingsmead",461480.627992318,341338.987024049,"2025-01-08","Safety report logged following aggressive behaviour in public space. Further context remained limited."
"INC_0155","Hazel Row",461480.653309582,341338.994812137,"2025-07-31","Witness noted a threatening exchange requiring follow-up attention."
"INC_0156","Kingsmead",461480.637662181,341339.008653756,"2025-12-23","Residents described persistent disturbance from street gatherings. Weekend evening pattern."
"INC_0157","Stonebridge",460793.013547238,341268.54856297,"2025-09-11","Safety report logged following aggressive behaviour in public space. Several witnesses were nearby."
"INC_0158","Kingsmead",460793.01260943,341268.564421379,"2025-07-04","Repeated late-night noise reported near flats. Short repeat description."
"INC_0159","Hazel Row",460217.77176416,341277.946294588,"2025-08-29","Repeated late-night noise reported near flats. Linked to visitor activity."
"INC_0160","Hazel Row",460377.705348074,341387.890762503,"2025-10-28","Crowd noise and shouting noted outside licensed premises. Linked to visitor activity."
"INC_0161","Hazel Row",459946.576300443,341581.880238605,"2025-10-21","Repeated late-night noise reported near flats."
"INC_0162","Hazel Row",460054.469474082,341990.474823279,"2025-07-10","Safety report logged following aggressive behaviour in public space. Follow-up details were partial."
"INC_0163","Hazel Row",459591.85261137,341773.903247021,"2025-02-16","Caller reported suspicious behaviour near a poorly lit route. Pattern may be intermittent."
"INC_0164","East Hollow",459614.279140697,341476.332420638,"2025-10-05","Crowd noise and shouting noted outside licensed premises. Near transport corridor."
"INC_0165","Hazel Row",459570.717592601,342009.081882555,"2025-04-28","Incident report referenced an altercation and threat concerns. Follow-up details were partial."
"INC_0166","Hazel Row",460025.159559237,342239.021918236,"2025-03-20","Caller reported suspicious behaviour near a poorly lit route. Pattern may be intermittent."
"INC_0167","Hazel Row",459924.381611917,341158.84934037,"2025-10-08","Crowd noise and shouting noted outside licensed premises."
"INC_0168","East Hollow",459436.694570462,342196.517864403,"2025-08-12","Broken glass and signs of overnight damage were recorded. Nearby property affected."
"INC_0169","Hazel Row",460179.265938359,341663.699032388,"2025-12-17","Complaint logged about loud music and anti-social noise."
"INC_0170","Hazel Row",459807.840242959,341510.570335995,"2025-10-27","Repeated late-night noise reported near flats. Short repeat description."
"INC_0171","Hazel Row",459628.423689248,342079.236621295,"2025-10-23","Caller reported suspicious behaviour near a poorly lit route. Caller uncertain about intent."
"INC_0172","Hazel Row",459846.138339964,341550.738724014,"2025-04-29","Resident described suspicious movement near pedestrian access points. Caller uncertain about intent."
"INC_0173","Hazel Row",460312.314052384,342301.525356543,"2025-03-05","Report noted repeated damage to bins and surrounding fixtures. Issue appears recurring."
"INC_0174","Kingsmead",460671.315105639,341395.574235534,"2025-12-08","Complaint logged about loud music and anti-social noise."
"INC_0175","Kingsmead",459530.40083937,341469.862114871,"2025-10-08","Complaint logged about loud music and anti-social noise. Near transport corridor."
"INC_0176","Hazel Row",459869.950151046,341781.326894525,"2025-02-11","Caller described a confrontation with risk of personal harm."
"INC_0177","Hazel Row",459786.705484966,341763.130631925,"2025-08-17","Complaint logged about loud music and anti-social noise. Near transport corridor."
"INC_0178","Kingsmead",460026.318757811,342003.940344216,"2025-02-02","Concern raised about loitering and unclear activity after dark. Caller uncertain about intent."
"INC_0179","Hazel Row",459853.12130591,341355.986219552,"2025-06-26","Complaint logged about loud music and anti-social noise."
"INC_0180","Hazel Row",460286.584901677,341661.536191977,"2025-11-09","Incident report referenced an altercation and threat concerns. Several witnesses were nearby."
"INC_0181","Hazel Row",460135.36326447,341289.444010074,"2025-08-21","Caller described a confrontation with risk of personal harm. Incident escalated quickly."
"INC_0182","Hazel Row",459246.25747486,342065.08831707,"2025-12-04","Incident report referenced an altercation and threat concerns. Further context remained limited."
"INC_0183","Hazel Row",460585.590920198,341840.113915479,"2025-09-12","Broken glass and signs of overnight damage were recorded. Nearby property affected."
"INC_0184","East Hollow",459406.617933431,341868.272798646,"2025-05-14","Complaint logged about loud music and anti-social noise."
"INC_0185","Hazel Row",460528.164873229,341267.295378078,"2025-02-06","Residents described persistent disturbance from street gatherings. Short repeat description."
"INC_0186","Hazel Row",460623.789926504,341593.587478971,"2025-01-12","Witness noted a threatening exchange requiring follow-up attention. Several witnesses were nearby."
"INC_0187","Hazel Row",459820.065307862,342107.816832732,"2025-01-12","Witness noted a threatening exchange requiring follow-up attention. Incident escalated quickly."
"INC_0188","Hazel Row",459762.691917306,341967.292464738,"2025-10-17","Report noted repeated damage to bins and surrounding fixtures. Nearby property affected."
"INC_0189","Hazel Row",459629.575314698,341933.749430407,"2025-05-09","Incident report referenced an altercation and threat concerns. Further context remained limited."
"INC_0190","Hazel Row",459629.579618388,341933.743255152,"2025-02-05","Incident report referenced an altercation and threat concerns."
"INC_0191","East Hollow",459629.555435391,341933.741148536,"2025-06-29","Repeated late-night noise reported near flats. Near transport corridor."
"INC_0192","Kingsmead",459629.559692523,341933.741860457,"2025-05-23","Repeated late-night noise reported near flats. Near transport corridor."
"INC_0193","Hazel Row",459629.603916682,341933.752855477,"2025-08-21","Caller described a confrontation with risk of personal harm."
"INC_0194","East Hollow",459629.567828871,341933.720666265,"2025-12-19","Caller described a confrontation with risk of personal harm. Further context remained limited."
"INC_0195","Hazel Row",459629.56955496,341933.742571572,"2025-08-28","Resident described suspicious movement near pedestrian access points. Pedestrian route referenced."
"INC_0196","Hazel Row",459629.560695568,341933.720195965,"2025-11-20","Report noted repeated damage to bins and surrounding fixtures."
"INC_0197","Hazel Row",459629.550244768,341933.755432471,"2025-06-18","Residents described persistent disturbance from street gatherings. Short repeat description."
"INC_0198","East Hollow",459629.592706111,341933.747149525,"2025-08-01","Broken glass and signs of overnight damage were recorded. Possible overnight timing."
"INC_0199","Hazel Row",459629.547498718,341933.73661562,"2025-04-21","Repeated late-night noise reported near flats."
"INC_0200","Hazel Row",459629.560473869,341933.733835573,"2025-02-14","Caller described a confrontation with risk of personal harm. Several witnesses were nearby."
"INC_0201","Hazel Row",459629.571597185,341933.733423078,"2025-05-13","Witness noted a threatening exchange requiring follow-up attention. Follow-up details were partial."
"INC_0202","Hazel Row",459629.545536533,341933.766407559,"2025-05-29","Witness noted a threatening exchange requiring follow-up attention."
"INC_0203","Hazel Row",459629.573585386,341933.733810229,"2025-11-07","Repeated late-night noise reported near flats. Short repeat description."
"INC_0204","Hazel Row",459629.582391727,341933.761122465,"2025-02-14","Residents described persistent disturbance from street gatherings."
"INC_0205","Hazel Row",459629.584611407,341933.742754086,"2025-09-08","Concern raised about loitering and unclear activity after dark. Pattern may be intermittent."
"INC_0206","Hazel Row",459629.574789027,341933.763902046,"2025-01-15","Safety report logged following aggressive behaviour in public space. Incident escalated quickly."
"INC_0207","Hazel Row",459629.566661713,341933.729186677,"2025-10-05","Caller reported suspicious behaviour near a poorly lit route. Caller uncertain about intent."
"INC_0208","Hazel Row",459629.569827104,341933.722577912,"2025-05-28","Repeated late-night noise reported near flats. Short repeat description."
"INC_0209","Hazel Row",459629.571762376,341933.771607406,"2025-07-16","Concern raised about loitering and unclear activity after dark. Pedestrian route referenced."
"INC_0210","Hazel Row",459629.55225082,341933.724563403,"2025-02-06","Broken glass and signs of overnight damage were recorded. Issue appears recurring."
"INC_0211","Hazel Row",459629.587562942,341933.719750784,"2025-03-03","Complaint logged about loud music and anti-social noise. Weekend evening pattern."
"INC_0212","Hazel Row",459629.581003645,341933.729908038,"2025-01-31","Complaint logged about loud music and anti-social noise."
"INC_0213","Hazel Row",459629.562438968,341933.767442693,"2025-05-28","Residents described persistent disturbance from street gatherings. Linked to visitor activity."
"INC_0214","Hazel Row",459629.544558964,341933.74849725,"2025-07-08","Caller described a confrontation with risk of personal harm."
"INC_0215","Hazel Row",459629.564832359,341933.762118875,"2025-08-28","Report noted repeated damage to bins and surrounding fixtures."
"INC_0216","Kingsmead",460382.014769587,341297.623799488,"2025-06-20","Damage reported to fencing and nearby street furniture."
"INC_0217","Hazel Row",460382.008338545,341297.647421881,"2025-07-30","Repeated late-night noise reported near flats. Weekend evening pattern."
"INC_0218","Hazel Row",460381.993759142,341297.606886119,"2025-04-20","Broken glass and signs of overnight damage were recorded. Issue appears recurring."
"INC_0219","Hazel Row",460382.007272652,341297.621632096,"2025-03-18","Safety report logged following aggressive behaviour in public space. Incident escalated quickly."
"INC_0220","Hazel Row",460382.029054342,341297.627851057,"2025-02-18","Complaint logged about loud music and anti-social noise. Near transport corridor."
"INC_0221","Hazel Row",460381.987414871,341297.634914162,"2025-07-14","Complaint logged about loud music and anti-social noise. Linked to visitor activity."
"INC_0222","Hazel Row",460382.027440747,341297.622748755,"2025-06-01","Concern raised about loitering and unclear activity after dark. Pattern may be intermittent."
"INC_0223","Hazel Row",460382.020224888,341297.605397848,"2025-10-07","Resident described suspicious movement near pedestrian access points. Pattern may be intermittent."
"INC_0224","Kingsmead",460382.028225845,341297.627179044,"2025-09-16","Caller described a confrontation with risk of personal harm. Further context remained limited."
"INC_0225","Hazel Row",460382.001443393,341297.606915841,"2025-07-05","Caller reported suspicious behaviour near a poorly lit route."
"INC_0226","East Hollow",460382.047880907,341297.627916883,"2025-08-27","Safety report logged following aggressive behaviour in public space."
"INC_0227","Hazel Row",460381.995788087,341297.62669396,"2025-05-03","Repeated late-night noise reported near flats. Short repeat description."
